date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:07:14	93/93	---M-Z	200	added ('OK')	text/plain	etag:W/4edf5f6f307750e64f9ea37a821c30db	https://multiassetsbrokers.com/robots.txt		(from )
11:07:14	48128/48128	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Apr%202025%2009:34:27%20GMT	https://multiassetsbrokers.com/	C:/My%20Web%20Sites/multiassetsbrokers/multiassetsbrokers.com/index.html	(from )
11:07:16	578/578	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Apr%202025%2008:07:16%20GMT	https://multiassetsbrokers.com/multiassetsbrokers.com/	C:/My%20Web%20Sites/multiassetsbrokers/multiassetsbrokers.com/multiassetsbrokers.com/index.html	(from https://multiassetsbrokers.com/)
11:07:17	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2023%20Apr%202025%2008:07:17%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/multiassetsbrokers/www.googletagmanager.com/gtm.05445.delayed	(from https://multiassetsbrokers.com/)
11:07:19	141176/141176	---MCZ	200	added ('OK')	text/css	etag:W/02b1fbcfcb8a9b460e45d2707fcef598	https://multiassetsbrokers.com/assets/css/main.css?_cchid=02b1fbcfcb8a9b460e45d2707fcef598	C:/My%20Web%20Sites/multiassetsbrokers/multiassetsbrokers.com/assets/css/mainb480.css	(from https://multiassetsbrokers.com/)
11:07:22	6592/6592	---M--	200	added ('OK')	image/png	etag:949502cac980eeb04d9358d3767f76ca	https://multiassetsbrokers.com/images/icon.png?_cchid=949502cac980eeb04d9358d3767f76ca	C:/My%20Web%20Sites/multiassetsbrokers/multiassetsbrokers.com/images/icon5799.png	(from https://multiassetsbrokers.com/)
11:07:24	13492/13492	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2023%20Apr%202025%2008:07:24%20GMT	https://kit.fontawesome.com/4ed3731049.js	C:/My%20Web%20Sites/multiassetsbrokers/kit.fontawesome.com/4ed3731049.js	(from https://multiassetsbrokers.com/)
11:07:25	21831/21831	---M--	200	added ('OK')	image/png	etag:149770d81028d0722787a997735f182b	https://multiassetsbrokers.com/images/logo.png?_cchid=149770d81028d0722787a997735f182b	C:/My%20Web%20Sites/multiassetsbrokers/multiassetsbrokers.com/images/logo00ba.png	(from https://multiassetsbrokers.com/)
11:07:26	13601/13601	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Mar%202025%2009:44:41%20GMT	https://multiassetsbrokers.com/reviews/powered-consultancy-review.html	C:/My%20Web%20Sites/multiassetsbrokers/multiassetsbrokers.com/reviews/powered-consultancy-review.html	(from https://multiassetsbrokers.com/)
11:07:27	19160/19160	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Mar%202025%2009:44:41%20GMT	https://multiassetsbrokers.com/reviews/cmc-markets.html	C:/My%20Web%20Sites/multiassetsbrokers/multiassetsbrokers.com/reviews/cmc-markets.html	(from https://multiassetsbrokers.com/)
